sample_id,R_score,I_score,A_score,S_score,E_score,C_score,R_norm,I_norm,A_norm,S_norm,E_norm,C_norm,r_CNTT,r_ATTT,r_MKT,r_TMDT,r_TTDPT,r_KETOAN,r_best,r_second,confidence,fit_quality,assigned_major,age,gender,education
1064,4.0,19.0,0.0,29.0,2.0,17.0,0.125,0.59375,0.0,0.90625,0.0625,0.53125,0.26328796,0.32113844,-0.10058972,-0.13707311,-0.63067365,0.29840404,0.32113844,0.29840404,0.022734396,Good Fit,ATTT,46,2,2
10996,16.0,17.0,21.0,16.0,15.0,16.0,0.5,0.53125,0.65625,0.5,0.46875,0.5,-0.08660356,-0.4297107,-0.41363746,-0.5359943,0.92144334,-0.44297534,0.92144334,-0.08660356,1.0080469,Best Fit,TTDPT,44,1,2
3113,12.0,12.0,4.0,10.0,10.0,13.0,0.375,0.375,0.125,0.3125,0.3125,0.40625,0.6004914,0.81315887,0.109505944,0.35051212,-0.81259674,0.573921,0.81315887,0.6004914,0.21266747,Best Fit,ATTT,17,1,1
21409,7.0,2.0,12.0,25.0,20.0,25.0,0.21875,0.0625,0.375,0.78125,0.625,0.78125,-0.37916586,-0.11255612,0.5312738,0.6491658,-0.28325832,0.45232198,0.6491658,0.5312738,0.11789205,Great Fit,TMDT,32,2,3
28622,5.0,29.0,11.0,19.0,10.0,22.0,0.15625,0.90625,0.34375,0.59375,0.3125,0.6875,0.65568906,0.6051995,0.09790954,-0.0787786,-0.3860623,0.5403934,0.65568906,0.6051995,0.050489552,Great Fit,CNTT,13,1,1
19429,13.0,7.0,20.0,11.0,10.0,14.0,0.40625,0.21875,0.625,0.34375,0.3125,0.4375,-0.30393785,-0.46398798,-0.25460947,-0.05723701,0.8758118,-0.27074444,0.8758118,-0.05723701,0.9330488,Best Fit,TTDPT,17,1,1
12545,3.0,18.0,5.0,23.0,27.0,14.0,0.09375,0.5625,0.15625,0.71875,0.84375,0.4375,-0.19385444,0.056870207,0.7369142,0.4063064,-0.7155586,0.39836156,0.7369142,0.4063064,0.33060783,Best Fit,MKT,15,2,1
4285,0.0,21.0,1.0,3.0,4.0,9.0,0.0,0.65625,0.03125,0.09375,0.125,0.28125,0.7821647,0.7142442,0.12118375,-0.09006303,-0.36620578,0.47934783,0.7821647,0.7142442,0.06792049,Best Fit,CNTT,15,1,1
5558,22.0,24.0,16.0,27.0,17.0,24.0,0.6875,0.75,0.5,0.84375,0.53125,0.75,0.39104104,0.45663074,-0.29760677,-0.15693037,-0.66522765,0.25365308,0.45663074,0.39104104,0.06558969,Good Fit,ATTT,37,2,2
13364,14.0,1.0,18.0,20.0,22.0,27.0,0.4375,0.03125,0.5625,0.625,0.6875,0.84375,-0.40647683,-0.1727693,0.46527886,0.7223862,0.03167141,0.36366886,0.7223862,0.46527886,0.25710732,Great Fit,TMDT,36,2,4
7461,9.0,21.0,13.0,15.0,22.0,16.0,0.28125,0.65625,0.40625,0.46875,0.6875,0.5,0.15760344,0.28665662,0.7678697,0.36503914,-0.45469493,0.5073077,0.7678697,0.5073077,0.26056203,Best Fit,MKT,15,2,2
9159,0.0,0.0,9.0,13.0,14.0,19.0,0.0,0.0,0.28125,0.40625,0.4375,0.59375,-0.24127874,-0.009771356,0.67228425,0.7510977,-0.12817793,0.603073,0.7510977,0.67228425,0.07881339,Best Fit,TMDT,15,1,1
21828,18.0,32.0,0.0,0.0,9.0,16.0,0.5625,1.0,0.0,0.0,0.28125,0.5,0.8561671,0.8190295,-0.09289284,-0.05848744,-0.35864148,0.34254655,0.8561671,0.8190295,0.03713756,Best Fit,CNTT,16,1,2
15750,24.0,27.0,22.0,15.0,20.0,20.0,0.75,0.84375,0.6875,0.46875,0.625,0.625,0.6245253,0.41427922,-0.29816696,-0.33240467,0.24476428,-0.08769908,0.6245253,0.41427922,0.21024609,Great Fit,CNTT,65,1,2
17666,25.0,29.0,14.0,10.0,23.0,27.0,0.78125,0.90625,0.4375,0.3125,0.71875,0.84375,0.79037315,0.84759915,0.17946526,0.3243505,-0.2855988,0.5375241,0.84759915,0.79037315,0.057225976,Best Fit,ATTT,13,1,1
1946,9.0,8.0,15.0,11.0,9.0,4.0,0.28125,0.25,0.46875,0.34375,0.28125,0.125,-0.68713874,-0.91254103,-0.34441862,-0.6159767,0.654732,-0.8456116,0.654732,-0.34441862,0.9991506,Great Fit,TTDPT,24,2,3
15407,15.0,13.0,7.0,17.0,19.0,25.0,0.46875,0.40625,0.21875,0.53125,0.59375,0.78125,0.26209992,0.59858847,0.54487646,0.8182474,-0.6941098,0.8198533,0.8198533,0.8182474,0.0016059089,Best Fit,KETOAN,33,2,3
14867,17.0,17.0,6.0,16.0,21.0,27.0,0.53125,0.53125,0.1875,0.5,0.65625,0.84375,0.44164786,0.753425,0.53133833,0.773899,-0.7354216,0.8485579,0.8485579,0.773899,0.074658856,Best Fit,KETOAN,20,1,3
19879,5.0,13.0,22.0,4.0,6.0,7.0,0.15625,0.40625,0.6875,0.125,0.1875,0.21875,0.0616305,-0.2677777,-0.21489862,-0.43178192,0.8503544,-0.28482756,0.8503544,0.0616305,0.7887239,Best Fit,TTDPT,19,1,2
19913,27.0,19.0,5.0,4.0,16.0,5.0,0.84375,0.59375,0.15625,0.125,0.5,0.15625,0.21648191,0.22196198,-0.23431197,-0.17076463,-0.20525534,-0.27007976,0.22196198,0.21648191,0.0054800645,Good Fit,ATTT,19,1,3
3546,9.0,7.0,19.0,26.0,29.0,20.0,0.28125,0.21875,0.59375,0.8125,0.90625,0.625,-0.6891977,-0.44791105,0.68709874,0.56470525,-0.14758438,0.19150522,0.68709874,0.56470525,0.122393474,Great Fit,MKT,26,2,2
